"word","definition","quizId","questionNumber","randomDefOne","randomDefTwo","randomDefThree"
"aseptic","surgically clean","5bb70604b9e91037328e61b5","1","show bodily or mental pain","have more power than others","tiny bits of wood"
"propagation","increasing the number; spreading; extending","5bb70604b9e91037328e61b5","2","coming together and uniting into one substance","incapable of failure or error","improve; make better"
"hapless","unlucky","5bb70604b9e91037328e61b5","3","change direction suddenly","be enough","liking to give hospitality"
"implacable","incapable of being placated; unpleasable","5bb70604b9e91037328e61b5","4","small sin small weakness in one's character","weapon with a metal point on a long shaft","take in by swallowing"
"ineptitude","quality of being unskillful","5bb70604b9e91037328e61b5","5","preliminary; anticipating","spread into every part of","a manner of walking, stepping, or running"
"distraught","distracted violently upset in mind","5bb70604b9e91037328e61b5","6","move quickly suddenly and with force","of the power of forming a solution","lazy slow-moving person"
"vigilance","watchfulness self-appointed group who maintain order","5bb70604b9e91037328e61b5","7","forgery","anticipatory fear; premonition","yield, die"
"condense","increase in density strength make laconic","5bb70604b9e91037328e61b5","8","have deep respect for","sentence within another one something separated","fail/move/fall clumsily"
"forestall","prevent by taking action in advance; preempt","5bb70604b9e91037328e61b5","9","severe pain or suffering","free giving; generosity","postpone"
"stipulate","state or put forward as a necessary condition","5bb70604b9e91037328e61b5","10","to clear from a charge of guilt","worked out with much care in great detail","turned to bone; hardened like bone; Inflexible"
"diabolical","having the qualities of a devil","5bb70604b9e91037328e61b5","11","rubbed off; worn away by friction","change to a thick and solid state","fluent speaking skillful use of language"
"provoke","make angry vax","5bb70604b9e91037328e61b5","12","spend wastefully","yellow metal (mixing copper and zinc)","say or do again several times"
"lustrous","being bright; polished","5bb70604b9e91037328e61b5","13","state of doubt or perplexity","yielding easily shaped; moldable; adapting","unoriginal; obtained from another source"
"lament","show feeling of great sorrow","5bb70604b9e91037328e61b5","14","person who is slow waste of time","quality or condition of being sober","half-solid lump formed from liquid"
"plummet","fall plunge steeply","5bb70604b9e91037328e61b5","15","harmful","lively high-spirited","measure hoe heavy something is"
"subpoena","written order requiring a person to appear in a low court","5bb70604b9e91037328e61b5","16","use until none remains","regular customer person who gives support","person who travels regularly"
"punitive","Punishing","5bb70604b9e91037328e61b5","17","make payment to reward punish","that cannot be changed","rising or falling sharply"
"reciprocity","granting of privileges in return for similar","5bb70604b9e91037328e61b5","18","feeling of regret for one's action","counterfeit","Self-love"
"antithetical","direct opposing","5bb70604b9e91037328e61b5","19","grow reproduce by rapid multification","try to win","person who has given help"
"accrue","accumulate","5bb70604b9e91037328e61b5","20","a controversial argument / a person engaged in such an argument","warm and sincere","trying to please; obliging"
"extol","to praise highly","5bb70604b9e91037328e61b5","21","pleasing in appearance attractive","burdensome; heavy and awkward to carry","request"
"vitriolic","corrosive; sarcastic","5bb70604b9e91037328e61b5","22","compel to force to make obedient","mislead or delude; cheat; pass time","quality of being limited; not extreme"
"idolatry","excessive admiration of","5bb70604b9e91037328e61b5","23","leather case for a pistol","receding","lasting"
"soot","black powder in smoke","5bb70604b9e91037328e61b5","24","suppressed, kept back","cover for the blade of a weapon or a tool","too strong to be defeated"
"illicit","unlawful; forbidden","5bb70604b9e91037328e61b5","25","surgically clean","puzzle; confuse","trouble disturbance"
"valorous","brave","5bb70604b9e91037328e61b6","1","increasing the number; spreading; extending","draw together; unite firmly","lacking solidarity, strength"
"apropos","by the way","5bb70604b9e91037328e61b6","2","unlucky","loud chuckle of pleasure or amusement","form of a frog when it leaves the egg"
"haughty","arrogant; conceited","5bb70604b9e91037328e61b6","3","incapable of being placated; unpleasable","unharmed unhurt","settle a quarrel restore peace"
"aversion","strong dislike","5bb70604b9e91037328e61b6","4","quality of being unskillful","talk excitedly; utter rapidly","secret with a hidden meaning"
"floe","a sheet of floating ice","5bb70604b9e91037328e61b6","5","distracted violently upset in mind","of great importance (others depend on it)","the saving of property from loss"
"complaisance","tending to comply obliging willingness to please","5bb70604b9e91037328e61b6","6","watchfulness self-appointed group who maintain order","collapse; bursting inward","porous rubber for washing live at once expense"
"apprehensive","grasping understanding fear unhappy feeling about future","5bb70604b9e91037328e61b6","7","increase in density strength make laconic","put something on the top","health of mind soundness of judgment"
"topple","be unsteady and overturn","5bb70604b9e91037328e61b6","8","prevent by taking action in advance; preempt","leader of a unit of 100 soldiers","twisting force causing rotation"
"deviance","being different in moral standards (from normal)","5bb70604b9e91037328e61b6","9","state or put forward as a necessary condition","refuse to accept/cause dislike","enclose in capsule"
"concord","agreement or harmony","5bb70604b9e91037328e61b6","10","having the qualities of a devil","metal supports attached to the legs measuring instrument","show much fondness center one's attention"
"pristine","primitive unspoiled pure as in earlier times unadulterated","5bb70604b9e91037328e61b6","11","make angry vax","something that is puzzling","splitting or division (esp. of cells)"
"viscous","sticky/semi-fluid","5bb70604b9e91037328e61b6","12","being bright; polished","able to float; light-hearted","changeable inconstant fickle unstable explosive"
"enunciate","pronounce (words)/express a theory","5bb70604b9e91037328e61b6","13","show feeling of great sorrow","get back by payment compensate","to debase by mixing with something inferior"
"inept","unskillful; said or done at the wrong time","5bb70604b9e91037328e61b6","14","fall plunge steeply","hinder; get in the way of","in a state of inactivity but awaiting development"
"malevolence","wishing to do evil","5bb70604b9e91037328e61b6","15","written order requiring a person to appear in a low court","agree in opinion happen together","brave,behaves well with women"
"entangle","put into difficulties","5bb70604b9e91037328e61b6","16","Punishing","a number of performance of music","causing grief or pain; serious dire grave"
"variegate","To mark with different shade or colors","5bb70604b9e91037328e61b6","17","granting of privileges in return for similar","not to be trusted, perfidious","keep the memory of"
"latent","present but not yet active; developed or visible","5bb70604b9e91037328e61b6","18","direct opposing","inclined to indulge","A piece of broken pottery"
"slack","sluggish; dull; not tight","5bb70604b9e91037328e61b6","19","accumulate","noisy; restraint","falsely making oneself appear to be good"
"calisthenics","exercises to develop strong bodies","5bb70604b9e91037328e61b6","20","to praise highly","to steal, especially in small quantities","get rid of pull up by the roots"
"regicide","crime of killing a king","5bb70604b9e91037328e61b6","21","corrosive; sarcastic","nurture; care for","steel tool for shaping materials"
"palate","roof of the mouth; sense of taste","5bb70604b9e91037328e61b6","22","excessive admiration of","coming back to consciousness","fill with fury or rage"
"supersede","take the place of","5bb70604b9e91037328e61b6","23","black powder in smoke","walk with long steps","swallow up"
"arduous","steep difficult ascent; laborious","5bb70604b9e91037328e61b6","24","unlawful; forbidden","brutal racial discrimination","Cruel"
"prevalent","common","5bb70604b9e91037328e61b6","25","brave","person who hates mankind","celebrated; famous"
"undermine","weaken gradually at the base make something under","5bb70604b9e91037328e61b7","1","by the way","instruct; correct morally","puzzling person or thing"
"impediment","something that hinders (e.g. stammer)","5bb70604b9e91037328e61b7","2","arrogant; conceited","formal praise panegyric","call up bring out"
"pungency","sharpness stinging quality","5bb70604b9e91037328e61b7","3","strong dislike","known or understood by very few","harmful; causing mischief"
"tamper","interfere with","5bb70604b9e91037328e61b7","4","a sheet of floating ice","sham; counterfeit; not genuine","approval (by authority) penalty"
"iconoclast","person who attacks popular beliefs","5bb70604b9e91037328e61b7","5","tending to comply obliging willingness to please","skill (esp. in handling)","implied though; not plainly expressed"
"hush","make or become silent","5bb70604b9e91037328e61b7","6","grasping understanding fear unhappy feeling about future","publicly mock or ridicule","proof to the contrary"
"frugal","careful; economical","5bb70604b9e91037328e61b7","7","be unsteady and overturn","tending to evade","one who hates women/females"
"shun","keep away from avoid","5bb70604b9e91037328e61b7","8","being different in moral standards (from normal)","short piece of humorous writing","extreme bad"
"felon","person guilty of murder","5bb70604b9e91037328e61b7","9","agreement or harmony","too talkative","written order"
"placate","soothe pacify calm","5bb70604b9e91037328e61b7","10","primitive unspoiled pure as in earlier times unadulterated","out of place; not in harmony or agreement","catalyst"
"bigot","stubborn; narrow-minded person","5bb70604b9e91037328e61b7","11","sticky/semi-fluid","giving facts to support (statement)","elation state of pleasant excitement"
"whimsical","full of odd and fanciful ideas","5bb70604b9e91037328e61b7","12","pronounce (words)/express a theory","varied; motley; greatly diversified","belong as a part have reference"
"aloof","reserved; indifferent","5bb70604b9e91037328e61b7","13","unskillful; said or done at the wrong time","not easily exhaustible; tirelessness","directing the mind in a certain direction"
"indomitable","not easily discouraged or subdued","5bb70604b9e91037328e61b7","14","wishing to do evil","complicated;coiled; twisted","make tight or smaller"
"imperative","urgent; essential","5bb70604b9e91037328e61b7","15","put into difficulties","bitter quarrel over a long period of time","be destroyed decay"
"smolder","burn slowly without flame","5bb70604b9e91037328e61b7","16","To mark with different shade or colors","easy and painless death","attack verbally"
"perilous","dangerous","5bb70604b9e91037328e61b7","17","present but not yet active; developed or visible","causing a feeling of disgust","giving great attention to details"
"recluse","person who lives alone and avoids people","5bb70604b9e91037328e61b7","18","sluggish; dull; not tight","make or become pure cultural","star; light-giving body"
"apprise","give notice to inform","5bb70604b9e91037328e61b7","19","exercises to develop strong bodies","make a lower bid then somebody else","cheat make a fool of"
"dismal","sad; gloomy; miserable","5bb70604b9e91037328e61b7","20","crime of killing a king","invent, prepare by mixing together","irregular in behaviour or opinion"
"trickle","flow in drops","5bb70604b9e91037328e61b7","21","roof of the mouth; sense of taste","greenish-blue precious stone","without preparation"
"muffler","cloth worn round the neck; silencer","5bb70604b9e91037328e61b7","22","take the place of","order given by authority","helping; supporting"
"enthral","take the whole attention, enslave","5bb70604b9e91037328e61b7","23","steep difficult ascent; laborious","angry","write one's name on the back of"
"disencumber","free from encumbrance","5bb70604b9e91037328e61b7","24","common","wildly excited with joy; pain; anxiety","being uncontrollably violent"
"impending","imminent; about to happen; expected","5bb70604b9e91037328e61b7","25","weaken gradually at the base make something under","recess/partially enclosed place","something giving strength or energy"
"lavish","giving or producing freely liberally or generously","5bb70604b9e91037328e61b8","1","something that hinders (e.g. stammer)","feeling or showing deep respect","a person with good judgement (e.g.. in art)"
"stickler","person who insists on importance of something","5bb70604b9e91037328e61b8","2","sharpness stinging quality","To seek favor or attention by flattery and obsequious","not easily heard; seen clearly marked"
"avow","admit; declare openly","5bb70604b9e91037328e61b8","3","interfere with","being fully aware of","difficult to comprehend; obscure"
"stigma","mark of shame or disgrace","5bb70604b9e91037328e61b8","4","person who attacks popular beliefs","person who loves wealth and spends little","lacking strength; walking unevenly"
"mendacious","lying; habitually dishonest","5bb70604b9e91037328e61b8","5","make or become silent","brave","outside the law"
"indulge","gratify; give way to satisfy allow oneself","5bb70604b9e91037328e61b8","6","careful; economical","spread through every part of","straying away from what is normal"
"castigation","severe punishment","5bb70604b9e91037328e61b8","7","keep away from avoid","insulting; tending to damage","become strong after illness loss exhaustion"
"deter","discourage hinder","5bb70604b9e91037328e61b8","8","person guilty of murder","lost brightness","willful FALSE statement unlawful act"
"finesse","delicate way of dealing with a situation","5bb70604b9e91037328e61b8","9","soothe pacify calm","taste flavor something","A very small amount, portion, or particle"
"incredulous","skeptical; unwilling to believe","5bb70604b9e91037328e61b8","10","stubborn; narrow-minded person","unrestrained; willfully malicious; unchaste","complex; subtle; refined"
"benevolence","wish or activity in doing good","5bb70604b9e91037328e61b8","11","full of odd and fanciful ideas","discover and bring to light","destructive thing or a person who is nuisance"
"squat","crouch/settle without permission","5bb70604b9e91037328e61b8","12","reserved; indifferent","mischievous trick played to deceive","pull the feathers off pick (e.g.. flowers)"
"exuberance","state of growing vigorously being full of life","5bb70604b9e91037328e61b8","13","not easily discouraged or subdued","arousing sensual pleasures","satisfy fully"
"soar","rise fly high","5bb70604b9e91037328e61b8","14","urgent; essential","heavy with water","involving or using conversation."
"tenacity","firmness persistency adhesiveness tending to hang on","5bb70604b9e91037328e61b8","15","burn slowly without flame","dishes made of baked clay","man owning small estate; middle-class farmer"
"incessant","Constant","5bb70604b9e91037328e61b8","16","dangerous","prevent from being known put an end to","to cause pain, uneasiness, or trouble to."
"vehemence","forcefulness","5bb70604b9e91037328e61b8","17","person who lives alone and avoids people","having a desire to revenge","hypnotize"
"gist","the point general sense","5bb70604b9e91037328e61b8","18","give notice to inform","open disobedience or resistance","loyalty accuracy"
"conciliatory","reconciling; soothing; comforting; mollifying","5bb70604b9e91037328e61b8","19","sad; gloomy; miserable","likely to come or happen soon","a model example or pattern"
"tassel","bunch of threads","5bb70604b9e91037328e61b8","20","flow in drops","be too tight take between the thumb and finger","easily gulled"
"apostate","one who abandons long-held religious or political convictions","5bb70604b9e91037328e61b8","21","cloth worn round the neck; silencer","final and unalterable","move force from the place occupied"
"engrave","impress deeply","5bb70604b9e91037328e61b8","22","take the whole attention, enslave","frank; straight-forward","having both of two contrary meanings"
"transient","temporary fleeting","5bb70604b9e91037328e61b8","23","free from encumbrance","outburst of feeling; sudden rain wind fire etc.","speak distinctly; connect by joints"
"berate","scold sharply","5bb70604b9e91037328e61b8","24","imminent; about to happen; expected","person who stirs up war","number of ships; quick-moving"
"connotation","suggestion in addition to","5bb70604b9e91037328e61b8","25","giving or producing freely liberally or generously","talkative; garrulous","easily controlled or guided"
"flaunting","show off complacently","5bb70604b9e91037328e61b9","1","person who insists on importance of something","burst out suddenly/talk ardently","one-sided committed to a party biased or prejudiced"
"empirical","relying on experiment","5bb70604b9e91037328e61b9","2","admit; declare openly","show bodily or mental pain","have more power than others"
"immaculate","pure; faultless","5bb70604b9e91037328e61b9","3","mark of shame or disgrace","coming together and uniting into one substance","incapable of failure or error"
"pillage","plunder (especially in war)","5bb70604b9e91037328e61b9","4","lying; habitually dishonest","change direction suddenly","be enough"
"impair","worsen; diminish in value","5bb70604b9e91037328e61b9","5","gratify; give way to satisfy allow oneself","small sin small weakness in one's character","weapon with a metal point on a long shaft"
"extrovert","cheerful person","5bb70604b9e91037328e61b9","6","severe punishment","preliminary; anticipating","spread into every part of"
"astute","clever quick at seeing to get an advantage","5bb70604b9e91037328e61b9","7","discourage hinder","move quickly suddenly and with force","of the power of forming a solution"
"prone","prostrate; inclined to (undesirable things)","5bb70604b9e91037328e61b9","8","delicate way of dealing with a situation","forgery","anticipatory fear; premonition"
"coy","shy/modest (especially of a girl)","5bb70604b9e91037328e61b9","9","skeptical; unwilling to believe","have deep respect for","sentence within another one something separated"
"procrastination","keeping on putting off","5bb70604b9e91037328e61b9","10","wish or activity in doing good","severe pain or suffering","free giving; generosity"
"exorbitant","much too high or great","5bb70604b9e91037328e61b9","11","crouch/settle without permission","to clear from a charge of guilt","worked out with much care in great detail"
"mollify","make calmer or quieter","5bb70604b9e91037328e61b9","12","state of growing vigorously being full of life","rubbed off; worn away by friction","change to a thick and solid state"
"incorrigibility","cannot be cured or corrected","5bb70604b9e91037328e61b9","13","rise fly high","spend wastefully","yellow metal (mixing copper and zinc)"
"taciturn","unspoken, silent","5bb70604b9e91037328e61b9","14","firmness persistency adhesiveness tending to hang on","state of doubt or perplexity","yielding easily shaped; moldable; adapting"
"sober","self-controlled","5bb70604b9e91037328e61b9","15","Constant","person who is slow waste of time","quality or condition of being sober"
"approbation","approval","5bb70604b9e91037328e61b9","16","forcefulness","harmful","lively high-spirited"
"truce","(agreement) stop of fighting for a time","5bb70604b9e91037328e61b9","17","the point general sense","use until none remains","regular customer person who gives support"
"subdue","overcome bring under control","5bb70604b9e91037328e61b9","18","reconciling; soothing; comforting; mollifying","make payment to reward punish","that cannot be changed"
"precepts","rules establishing standards of conduct","5bb70604b9e91037328e61b9","19","bunch of threads","feeling of regret for one's action","counterfeit"
"conviction","convincing firm belief","5bb70604b9e91037328e61b9","20","one who abandons long-held religious or political convictions","grow reproduce by rapid multification","try to win"
"castigate","to chastise; correct by punishing","5bb70604b9e91037328e61b9","21","impress deeply","a controversial argument / a person engaged in such an argument","warm and sincere"
"fallacious","based on error","5bb70604b9e91037328e61b9","22","temporary fleeting","pleasing in appearance attractive","burdensome; heavy and awkward to carry"
"flamboyant","brightly colored; florid","5bb70604b9e91037328e61b9","23","scold sharply","compel to force to make obedient","mislead or delude; cheat; pass time"
"nonchalant","not having interest","5bb70604b9e91037328e61b9","24","suggestion in addition to","leather case for a pistol","receding"
"vex","annoy distress trouble","5bb70604b9e91037328e61b9","25","show off complacently","suppressed, kept back","cover for the blade of a weapon or a tool"
"poncho","large piece of cloth","5bb70604b9e91037328e61ba","1","relying on experiment","surgically clean","puzzle; confuse"
"gorge","eat greedily/narrow opening with a stream","5bb70604b9e91037328e61ba","2","pure; faultless","increasing the number; spreading; extending","draw together; unite firmly"
"grandiloquent","using pompous words","5bb70604b9e91037328e61ba","3","plunder (especially in war)","unlucky","loud chuckle of pleasure or amusement"
"pitfall","covered hole as a trap unsuspected danger","5bb70604b9e91037328e61ba","4","worsen; diminish in value","incapable of being placated; unpleasable","unharmed unhurt"
"coddle","treat with care and tenderness","5bb70604b9e91037328e61ba","5","cheerful person","quality of being unskillful","talk excitedly; utter rapidly"
"lull","become quiet or less active","5bb70604b9e91037328e61ba","6","clever quick at seeing to get an advantage","distracted violently upset in mind","of great importance (others depend on it)"
"impassive","unmoved; feeling no sign of passion","5bb70604b9e91037328e61ba","7","prostrate; inclined to (undesirable things)","watchfulness self-appointed group who maintain order","collapse; bursting inward"
"curtail","make shorter then was planned","5bb70604b9e91037328e61ba","8","shy/modest (especially of a girl)","increase in density strength make laconic","put something on the top"
"perch","take up a high position","5bb70604b9e91037328e61ba","9","keeping on putting off","prevent by taking action in advance; preempt","leader of a unit of 100 soldiers"
"inscrutable","incapable of being discovered or understood","5bb70604b9e91037328e61ba","10","much too high or great","state or put forward as a necessary condition","refuse to accept/cause dislike"
"shrill","sharp; piercing","5bb70604b9e91037328e61ba","11","make calmer or quieter","having the qualities of a devil","metal supports attached to the legs measuring instrument"
"prudence","careful forethought","5bb70604b9e91037328e61ba","12","cannot be cured or corrected","make angry vax","something that is puzzling"
"boorish","crude; rude","5bb70604b9e91037328e61ba","13","unspoken, silent","being bright; polished","able to float; light-hearted"
"timorous","fearful timid afraid","5bb70604b9e91037328e61ba","14","self-controlled","show feeling of great sorrow","get back by payment compensate"
"efface","rub or wipe out, obliterate","5bb70604b9e91037328e61ba","15","approval","fall plunge steeply","hinder; get in the way of"
"imperturbable","calm not capable of being excited","5bb70604b9e91037328e61ba","16","(agreement) stop of fighting for a time","written order requiring a person to appear in a low court","agree in opinion happen together"
"rescind","repeal/annul/cancel","5bb70604b9e91037328e61ba","17","overcome bring under control","Punishing","a number of performance of music"
"bolster","give greatly needed support","5bb70604b9e91037328e61ba","18","rules establishing standards of conduct","granting of privileges in return for similar","not to be trusted, perfidious"
"arboreal","of connected with trees","5bb70604b9e91037328e61ba","19","convincing firm belief","direct opposing","inclined to indulge"
"intersperse","place here and there","5bb70604b9e91037328e61ba","20","to chastise; correct by punishing","accumulate","noisy; restraint"
"cohort","a group or band of people","5bb70604b9e91037328e61ba","21","based on error","to praise highly","to steal, especially in small quantities"
"oblivious","unaware; having no memory","5bb70604b9e91037328e61ba","22","brightly colored; florid","corrosive; sarcastic","nurture; care for"
"ignoble","not noble; inferior","5bb70604b9e91037328e61ba","23","not having interest","excessive admiration of","coming back to consciousness"
"disseminate","distribute (esp. ideas)","5bb70604b9e91037328e61ba","24","annoy distress trouble","black powder in smoke","walk with long steps"
"bask","in enjoy warmth and light","5bb70604b9e91037328e61ba","25","large piece of cloth","unlawful; forbidden","brutal racial discrimination"
"heed","attention/give notice to","5bb70604b9e91037328e61bb","1","eat greedily/narrow opening with a stream","brave","person who hates mankind"
"nebulous","cloud-like; hazy; vague; indistinct","5bb70604b9e91037328e61bb","2","using pompous words","by the way","instruct; correct morally"
"precarious","uncertain risky dangerous","5bb70604b9e91037328e61bb","3","covered hole as a trap unsuspected danger","arrogant; conceited","formal praise panegyric"
"incise","engrave; make a cut in","5bb70604b9e91037328e61bb","4","treat with care and tenderness","strong dislike","known or understood by very few"
"ebullient","overflowing with enthusiasm showing excitement","5bb70604b9e91037328e61bb","5","become quiet or less active","a sheet of floating ice","sham; counterfeit; not genuine"
"endearing","making dear or liked","5bb70604b9e91037328e61bb","6","unmoved; feeling no sign of passion","tending to comply obliging willingness to please","skill (esp. in handling)"
"espouse","To take in marriage","5bb70604b9e91037328e61bb","7","make shorter then was planned","grasping understanding fear unhappy feeling about future","publicly mock or ridicule"
"sagacious","having sound judgment; perceptive; wise like a sage","5bb70604b9e91037328e61bb","8","take up a high position","be unsteady and overturn","tending to evade"
"inferno","hell","5bb70604b9e91037328e61bb","9","incapable of being discovered or understood","being different in moral standards (from normal)","short piece of humorous writing"
"graze","touch or scrape lightly in passing","5bb70604b9e91037328e61bb","10","sharp; piercing","agreement or harmony","too talkative"
"laudatory","expressing or giving praise","5bb70604b9e91037328e61bb","11","careful forethought","primitive unspoiled pure as in earlier times unadulterated","out of place; not in harmony or agreement"
"fluster","make nervous or confused","5bb70604b9e91037328e61bb","12","crude; rude","sticky/semi-fluid","giving facts to support (statement)"
"matriculation","be admitted enter a university as a student","5bb70604b9e91037328e61bb","13","fearful timid afraid","pronounce (words)/express a theory","varied; motley; greatly diversified"
"susceptibility","sensitiveness","5bb70604b9e91037328e61bb","14","rub or wipe out, obliterate","unskillful; said or done at the wrong time","not easily exhaustible; tirelessness"
"embellish","make beautiful","5bb70604b9e91037328e61bb","15","calm not capable of being excited","wishing to do evil","complicated;coiled; twisted"
"ominous","threatening","5bb70604b9e91037328e61bb","16","repeal/annul/cancel","put into difficulties","bitter quarrel over a long period of time"
"palpitate","tremble beat rapidly and irregularly","5bb70604b9e91037328e61bb","17","give greatly needed support","To mark with different shade or colors","easy and painless death"
"fluke","lucky; stroke","5bb70604b9e91037328e61bb","18","of connected with trees","present but not yet active; developed or visible","causing a feeling of disgust"
"ostracism","shut out from society refuse to meet talk","5bb70604b9e91037328e61bb","19","place here and there","sluggish; dull; not tight","make or become pure cultural"
"divulge","make known something secret","5bb70604b9e91037328e61bb","20","a group or band of people","exercises to develop strong bodies","make a lower bid then somebody else"
"pliant","easily bent","5bb70604b9e91037328e61bb","21","unaware; having no memory","crime of killing a king","invent, prepare by mixing together"
"maverick","rebel; nonconformist","5bb70604b9e91037328e61bb","22","not noble; inferior","roof of the mouth; sense of taste","greenish-blue precious stone"
"malapropism","misuse of a word (for one that resembles it)","5bb70604b9e91037328e61bb","23","distribute (esp. ideas)","take the place of","order given by authority"
"quell","suppress subdue","5bb70604b9e91037328e61bb","24","in enjoy warmth and light","steep difficult ascent; laborious","angry"
"extort","obtain by threats violence","5bb70604b9e91037328e61bb","25","attention/give notice to","common","wildly excited with joy; pain; anxiety"
"cling","to resist separation","5bb70604b9e91037328e61bc","1","cloud-like; hazy; vague; indistinct","weaken gradually at the base make something under","recess/partially enclosed place"
"sidestep","step to one side","5bb70604b9e91037328e61bc","2","uncertain risky dangerous","something that hinders (e.g. stammer)","feeling or showing deep respect"
"dubious","feeling doubt","5bb70604b9e91037328e61bc","3","engrave; make a cut in","sharpness stinging quality","To seek favor or attention by flattery and obsequious"
"irascible","irritable; easily angered","5bb70604b9e91037328e61bc","4","overflowing with enthusiasm showing excitement","interfere with","being fully aware of"
"epitome","brief summary representative example a typical model","5bb70604b9e91037328e61bc","5","making dear or liked","person who attacks popular beliefs","person who loves wealth and spends little"
"ambrosial","extremely pleasing to taste","5bb70604b9e91037328e61bc","6","To take in marriage","make or become silent","brave"
"garner","to gather and save to store up","5bb70604b9e91037328e61bc","7","having sound judgment; perceptive; wise like a sage","careful; economical","spread through every part of"
"ferocity","savage cruelty","5bb70604b9e91037328e61bc","8","hell","keep away from avoid","insulting; tending to damage"
"expurgate","to remove obscenity purify censor","5bb70604b9e91037328e61bc","9","touch or scrape lightly in passing","person guilty of murder","lost brightness"
"cantankerous","bad-tempered/quarrelsome","5bb70604b9e91037328e61bc","10","expressing or giving praise","soothe pacify calm","taste flavor something"
"attune","bring into harmony","5bb70604b9e91037328e61bc","11","make nervous or confused","stubborn; narrow-minded person","unrestrained; willfully malicious; unchaste"
"arabesque","a complex ornate design","5bb70604b9e91037328e61bc","12","be admitted enter a university as a student","full of odd and fanciful ideas","discover and bring to light"
"efficacy","production of a desired result","5bb70604b9e91037328e61bc","13","sensitiveness","reserved; indifferent","mischievous trick played to deceive"
"chaste","pure","5bb70604b9e91037328e61bc","14","make beautiful","not easily discouraged or subdued","arousing sensual pleasures"
"palpability","can be felt or touched","5bb70604b9e91037328e61bc","15","threatening","urgent; essential","heavy with water"
"rift","split crack dissension","5bb70604b9e91037328e61bc","16","tremble beat rapidly and irregularly","burn slowly without flame","dishes made of baked clay"
"veer","change direction","5bb70604b9e91037328e61bc","17","lucky; stroke","dangerous","prevent from being known put an end to"
"insensible","unconscious; unresponsive; unaffected","5bb70604b9e91037328e61bc","18","shut out from society refuse to meet talk","person who lives alone and avoids people","having a desire to revenge"
"fidget","move restlessly make nervous","5bb70604b9e91037328e61bc","19","make known something secret","give notice to inform","open disobedience or resistance"
"plead","address a court of law as an advocate","5bb70604b9e91037328e61bc","20","easily bent","sad; gloomy; miserable","likely to come or happen soon"
"gourmand","a person who is devoted to eating and drinking to excess","5bb70604b9e91037328e61bc","21","rebel; nonconformist","flow in drops","be too tight take between the thumb and finger"
"morbid","diseased; unhealthy (e.g.. about ideas)","5bb70604b9e91037328e61bc","22","misuse of a word (for one that resembles it)","cloth worn round the neck; silencer","final and unalterable"
"feral","Existing in a wild or untamed state","5bb70604b9e91037328e61bc","23","suppress subdue","take the whole attention, enslave","frank; straight-forward"
"corroboration","additional strengthening evidence","5bb70604b9e91037328e61bc","24","obtain by threats violence","free from encumbrance","outburst of feeling; sudden rain wind fire etc."
"impervious","not allowing to pass through (of materials)","5bb70604b9e91037328e61bc","25","to resist separation","imminent; about to happen; expected","person who stirs up war"
"enmity","hatred being an enemy","5bb70604b9e91037328e61bd","1","step to one side","giving or producing freely liberally or generously","talkative; garrulous"
"breach","opening; broken place; breaking","5bb70604b9e91037328e61bd","2","feeling doubt","person who insists on importance of something","burst out suddenly/talk ardently"
"credulous","ready to believe things","5bb70604b9e91037328e61bd","3","irritable; easily angered","admit; declare openly","show bodily or mental pain"
"superfluous","more then is needed or wanted","5bb70604b9e91037328e61bd","4","brief summary representative example a typical model","mark of shame or disgrace","coming together and uniting into one substance"
"Conduce","To bring about","5bb70604b9e91037328e61bd","5","extremely pleasing to taste","lying; habitually dishonest","change direction suddenly"
"convoke","call together summon","5bb70604b9e91037328e61bd","6","to gather and save to store up","gratify; give way to satisfy allow oneself","small sin small weakness in one's character"
"daunt","intimidate make fearful","5bb70604b9e91037328e61bd","7","savage cruelty","severe punishment","preliminary; anticipating"
"mephitic","Poisonous; noxious","5bb70604b9e91037328e61bd","8","to remove obscenity purify censor","discourage hinder","move quickly suddenly and with force"
"trudge","walk heavily","5bb70604b9e91037328e61bd","9","bad-tempered/quarrelsome","delicate way of dealing with a situation","forgery"
"equipoise","equal distribution of weight equilibrium","5bb70604b9e91037328e61bd","10","bring into harmony","skeptical; unwilling to believe","have deep respect for"
"chastisement","punishment","5bb70604b9e91037328e61bd","11","a complex ornate design","wish or activity in doing good","severe pain or suffering"
"thrift","care economy thriving prosperous","5bb70604b9e91037328e61bd","12","production of a desired result","crouch/settle without permission","to clear from a charge of guilt"
"rarefy","to make thin to make less dense to purify or refine","5bb70604b9e91037328e61bd","13","pure","state of growing vigorously being full of life","rubbed off; worn away by friction"
"dissent","have a different opinion refuse to assent","5bb70604b9e91037328e61bd","14","can be felt or touched","rise fly high","spend wastefully"
"neophyte","person who has been converted to a belief","5bb70604b9e91037328e61bd","15","split crack dissension","firmness persistency adhesiveness tending to hang on","state of doubt or perplexity"
"lackluster","(of eyes) dull","5bb70604b9e91037328e61bd","16","change direction","Constant","person who is slow waste of time"
"fret","worry; irritation; wear away","5bb70604b9e91037328e61bd","17","unconscious; unresponsive; unaffected","forcefulness","harmful"
"pious","dutiful to parents; devoted to religion","5bb70604b9e91037328e61bd","18","move restlessly make nervous","the point general sense","use until none remains"
